1.2402,0.9564,0.0118,-0.3599,0.2097,-0.0178,0.0844,0.0119	IR	Poti	F	Potiach Syahlah
1.2402,0.9564,0.0118,-0.3599,0.2097,-0.0178,0.0844,0.0119	IR	Darkowá	M	Darkowáyon Mustafa
1.2402,0.9564,0.0118,-0.3599,0.2097,-0.0178,0.0844,0.0119	IR	مرتحی	F	مرتحیach Silva
1.2402,0.9564,0.0118,-0.3599,0.2097,-0.0178,0.0844,0.0119	IR	Farahi	F	Farahiach Farah
1.2402,0.9564,0.0118,-0.3599,0.2097,-0.0178,0.0844,0.0119	IR	علیض	F	علیضach Behzane
1.2402,0.9564,0.0118,-0.3599,0.2097,-0.0178,0.0844,0.0119	IR	Venda	M	Vendayon Rannaz
1.2402,0.9564,0.0118,-0.3599,0.2097,-0.0178,0.0844,0.0119	IR	Farzad	F	Farzadach Mimoel
1.2402,0.9564,0.0118,-0.3599,0.2097,-0.0178,0.0844,0.0119	IR	Fatiza	F	Fatizaach Ivena
1.2402,0.9564,0.0118,-0.3599,0.2097,-0.0178,0.0844,0.0119	IR	Teil	F	Teilach Jiřina
1.2402,0.9564,0.0118,-0.3599,0.2097,-0.0178,0.0844,0.0119	IR	Ahmad	M	Ahmadyon Saleh
1.2402,0.9564,0.0118,-0.3599,0.2097,-0.0178,0.0844,0.0119	IR	Kačka	M	Kačkayon Amir Hossein
1.2402,0.9564,0.0118,-0.3599,0.2097,-0.0178,0.0844,0.0119	IR	Jarmila	M	Jarmilayon Jahed
1.2402,0.9564,0.0118,-0.3599,0.2097,-0.0178,0.0844,0.0119	IR	Sarah	M	Sarahyon Mejammad
1.2402,0.9564,0.0118,-0.3599,0.2097,-0.0178,0.0844,0.0119	IR	Lowshi	F	Lowshiach Kačka
1.2402,0.9564,0.0118,-0.3599,0.2097,-0.0178,0.0844,0.0119	IR	Asaa	M	Asaayon Ahmad
